3305.0000,0.0000
3305.1172,0.0013
3305.2344,-0.0036
3305.3516,-0.0027
3305.4687,0.0008
3305.5859,-0.0024
3305.7031,-0.0033
3305.8203,0.0005
3305.9375,-0.0004
3306.0547,-0.0001
3306.1719,-0.0045
3306.2891,-0.0011
3306.4062,-0.0077
3306.5234,0.0001
3306.6406,0.0018
3306.7578,-0.0005
3306.8750,-0.0086
3306.9922,-0.0014
3307.1094,-0.0017
3307.2266,-0.0053
3307.3437,-0.0043
3307.4609,-0.0044
3307.5781,-0.0085
3307.6953,0.0025
3307.8125,0.0022
3307.9297,-0.0141
3308.0469,-0.0085
3308.1641,0.0014
3308.2812,-0.0038
3308.3984,-0.0050
3308.5156,-0.0044
3308.6328,0.0039
3308.7500,-0.0066
3308.8672,-0.0153
3308.9844,-0.0112
3309.1016,-0.0031
3309.2187,-0.0086
3309.3359,-0.0004
3309.4531,-0.0070
3309.5703,0.0008
3309.6875,-0.0028
3309.8047,-0.0054
3309.9219,0.0050
3310.0391,-0.0077
3310.1562,-0.0026
3310.2734,-0.0000
3310.3906,-0.0005
3310.5078,-0.0079
3310.6250,-0.0048
3310.7422,-0.0025
3310.8594,0.0047
3310.9766,0.0104
3311.0937,-0.0024
3311.2109,0.0003
3311.3281,0.0047
3311.4453,0.0140
3311.5625,-0.0028
3311.6797,-0.0038
3311.7969,0.0080
3311.9141,0.0010
3312.0312,-0.0032
3312.1484,-0.0018
3312.2656,-0.0081
3312.3828,-0.0047
3312.5000,-0.0013
3312.6172,-0.0095
3312.7344,-0.0046
3312.8516,0.0000
3312.9687,-0.0035
3313.0859,0.0016
3313.2031,0.0011
3313.3203,0.0049
3313.4375,0.0113
3313.5547,-0.0021
3313.6719,0.0003
3313.7891,-0.0006
3313.9062,-0.0036
3314.0234,-0.0071
3314.1406,0.0091
3314.2578,0.0111
3314.3750,0.0028
3314.4922,0.0008
3314.6094,0.0017
3314.7266,-0.0006
3314.8437,0.0000
3314.9609,0.0015
3315.0781,0.0005
3315.1953,-0.0001
3315.3125,0.0059
3315.4297,-0.0000
3315.5469,0.0001
3315.6641,0.0092
3315.7812,0.0144
3315.8984,0.0005
3316.0156,0.0049
3316.1328,0.0116
3316.2500,0.0117
3316.3672,0.0080
3316.4844,0.0036
3316.6016,0.0107
3316.7187,0.0053
3316.8359,0.0096
3316.9531,0.0124
3317.0703,0.0119
3317.1875,0.0122
3317.3047,0.0121
3317.4219,0.0122
3317.5391,0.0136
3317.6562,0.0158
3317.7734,0.0096
3317.8906,0.0101
3318.0078,0.0144
3318.1250,0.0078
3318.2422,0.0046
3318.3594,0.0038
3318.4766,0.0019
3318.5937,0.0102
3318.7109,0.0129
3318.8281,0.0181
3318.9453,0.0144
3319.0625,0.0045
3319.1797,0.0055
3319.2969,0.0133
3319.4141,0.0139
3319.5312,0.0120
3319.6484,0.0221
3319.7656,0.0095
3319.8828,0.0197
3320.0000,0.0245
3320.1172,0.0090
3320.2344,0.0080
3320.3516,0.0168
3320.4687,0.0238
3320.5859,0.0264
3320.7031,0.0247
3320.8203,0.0147
3320.9375,0.0241
3321.0547,0.0194
3321.1719,0.0218
3321.2891,0.0221
